Start of Today Currently fighting a
2023-06-11 11:44:19 Not Fighting an npc
2023-06-11 11:45:19 Not Fighting an npc
2023-06-11 11:46:19 Not Fighting an npc
2023-06-11 11:47:19 Not Fighting an npc
2023-06-11 11:48:19 Not Fighting an npc
2023-06-11 11:49:19 Not Fighting an npc
2023-06-11 11:50:19 Not Fighting an npc
2023-06-11 11:51:19 Not Fighting an npc
2023-06-11 11:52:19 Not Fighting an npc
2023-06-11 11:53:19 Currently Fighting a Cow
2023-06-11 11:54:19 Not Fighting an npc
2023-06-11 11:55:19 Not Fighting an npc
2023-06-11 11:56:20 Not Fighting an npc
2023-06-11 11:57:20 Not Fighting an npc
2023-06-11 11:58:20 Not Fighting an npc
2023-06-11 11:59:20 Not Fighting an npc
2023-06-11 12:00:20 Not Fighting an npc
2023-06-11 12:01:20 Not Fighting an npc
2023-06-11 12:02:20 Not Fighting an npc
2023-06-11 12:03:20 Currently Fighting a Cow
2023-06-11 12:04:20 Not Fighting an npc
2023-06-11 12:05:20 Currently Fighting a Cow
2023-06-11 12:06:20 Currently Fighting a Cow
2023-06-11 12:07:20 Not Fighting an npc
2023-06-11 12:08:20 Not Fighting an npc
2023-06-11 12:09:20 Not Fighting an npc
2023-06-11 12:10:20 Not Fighting an npc
2023-06-11 12:17:48 Not Fighting an npc
2023-06-11 12:18:48 Currently Fighting a Cow
2023-06-11 12:19:48 Not Fighting an npc
2023-06-11 12:37:41 Not Fighting an npc
2023-06-11 12:38:41 Not Fighting an npc
2023-06-11 12:39:41 Not Fighting an npc
2023-06-11 12:40:41 Not Fighting an npc
2023-06-11 12:41:41 Not Fighting an npc
2023-06-11 12:42:41 Not Fighting an npc
2023-06-11 12:43:41 Not Fighting an npc
2023-06-11 12:44:41 Not Fighting an npc
2023-06-11 12:45:41 Not Fighting an npc
2023-06-11 13:36:54 Not Fighting an npc
Currently
2023-06-11 13:37:18 Not Fighting an npc
2023-06-11 13:38:19 Currently Fighting a Cow
2023-06-11 13:39:19 Not Fighting an npc
2023-06-11 13:40:19 Not Fighting an npc
2023-06-11 13:41:19 Not Fighting an npc
2023-06-11 13:42:19 Currently Fighting a Cow
2023-06-11 13:43:19 Not Fighting an npc
2023-06-11 13:44:19 Not Fighting an npc
2023-06-11 13:45:19 Not Fighting an npc
2023-06-11 13:46:19 Not Fighting an npc
2023-06-11 13:47:19 Not Fighting an npc
2023-06-11 13:48:19 Not Fighting an npc
2023-06-11 13:49:19 Not Fighting an npc
2023-06-11 13:50:19 Not Fighting an npc
2023-06-11 13:51:19 Not Fighting an npc
2023-06-11 13:52:19 Not Fighting an npc
Currently
2023-06-11 15:38:06 Currently Fighting a Cow
2023-06-11 15:39:06 Not Fighting an npc
2023-06-11 15:40:06 Not Fighting an npc
2023-06-11 15:41:06 Currently Fighting a Cow
2023-06-11 15:42:06 Not Fighting an npc
2023-06-11 15:43:06 Not Fighting an npc
2023-06-11 15:44:06 Not Fighting an npc
2023-06-11 15:45:06 Currently Fighting a Cow
2023-06-11 15:46:06 Currently Fighting a Cow
2023-06-11 15:47:06 Not Fighting an npc
2023-06-11 15:48:06 Not Fighting an npc
2023-06-11 15:49:06 Not Fighting an npc
2023-06-11 15:50:06 Not Fighting an npc
2023-06-11 15:51:06 Not Fighting an npc
2023-06-11 15:52:06 Not Fighting an npc
2023-06-11 15:53:06 Not Fighting an npc
2023-06-11 15:54:06 Not Fighting an npc
2023-06-11 15:55:06 Not Fighting an npc
2023-06-11 15:56:06 Not Fighting an npc
